,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160404.0,126.0,1000000.0,1073142.2479975002,73142.24799750024,3085.0931058884385,1282.0,0.2424310438518521
1,20160701.0,189.0,1073142.2479975002,1071069.1175671823,-2073.1304303179495,2837.039596678007,1141.0,-0.0001932109389510195
2,20160930.0,252.0,1071069.1175671823,1100775.0536966056,29705.936129423324,2088.2967639556864,1209.0,0.1313206709439745
3,20161230.0,315.0,1100775.0536966056,1139953.5113096025,39178.45761299692,4131.570529730607,1446.0,0.19904009128050196
4,20170403.0,378.0,1139953.5113096025,1262421.4303223956,122467.9190127931,2684.7395460697844,1204.0,0.6081234914929918
5,20170703.0,441.0,1262421.4303223956,1296974.770508247,34553.340185851324,5503.894224964484,1252.0,0.22152794171329845
6,20171002.0,504.0,1296974.770508247,1361686.9135659777,64712.14305773075,6377.091423080164,1432.0,0.3475819911498419
7,20180102.0,567.0,1361686.9135659777,1512181.5588526593,150494.6452866816,5748.886558065375,1307.0,0.6607047777996806
8,20180404.0,630.0,1512181.5588526593,1522556.9530464725,10375.394193813205,2116.785552185967,342.0,0.06830153172921481
9,20180703.0,693.0,1522556.9530464725,1520746.211437422,-1810.7416090504266,5383.8231041862855,908.0,-0.0014802189311641008
10,20181002.0,756.0,1520746.211437422,1527545.6116006328,6799.400163210696,7616.695669699427,1010.0,0.05187010001399803
11,20190103.0,819.0,1527545.6116006328,1535157.812587425,7612.200986792333,880.13163321166,175.0,0.1834015898573362
12,20190404.0,882.0,1535157.812587425,1701162.9147568324,166005.1021694073,5706.180669802257,1327.0,0.5692181922505878
13,20190705.0,945.0,1701162.9147568324,1708705.1924352269,7542.277678394457,921.1711889216309,138.0,0.44207602199688506
14,20191003.0,1008.0,1708705.1924352269,1711399.1242366666,2693.9318014397286,1904.3649069271698,286.0,0.060672472051938604
15,20200103.0,1071.0,1711399.1242366666,1711234.2646988065,-164.8595378601458,292.28685652121544,56.0,-0.04484372786329632
16,20200403.0,1134.0,1711234.2646988065,1692074.3707779879,-19159.893920818577,953.7179314742377,176.0,-0.4253160927153627
17,20200706.0,1197.0,1692074.3707779879,1698489.513900848,6415.1431228602305,603.2826808675907,121.0,0.25203608068017797
