,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160404.0,126.0,1000000.0,1061099.1848636854,61099.1848636854,5920.212295825611,1539.0,0.21848452554897196
1,20160701.0,189.0,1061099.1848636854,1129494.940389653,68395.75552596757,2237.4697928046767,1292.0,0.247713834558459
2,20160930.0,252.0,1129494.940389653,1081175.7145671188,-48319.22582253418,2525.692970015744,1388.0,-0.15234653735390039
3,20161230.0,315.0,1081175.7145671188,1134761.51929516,53585.80472804117,5265.361991853267,1579.0,0.24985513464655731
4,20170403.0,378.0,1134761.51929516,1122601.9572872522,-12159.562007907778,4958.420053518168,1445.0,-0.06601391576151928
5,20170703.0,441.0,1122601.9572872522,1151020.0277381688,28418.070450916653,6458.004612810072,1282.0,0.25518058163824
6,20171002.0,504.0,1151020.0277381688,1202746.4374102417,51726.409672072856,7498.467856931458,1513.0,0.40209980218894203
7,20180102.0,567.0,1202746.4374102417,1340541.0101451052,137794.5727348635,3423.670777316527,1264.0,0.6384743367881532
8,20180404.0,630.0,1340541.0101451052,1358851.5897699618,18310.57962485659,1881.330056400402,323.0,0.14847884504580106
9,20180703.0,693.0,1358851.5897699618,1321150.416371122,-37701.173398839775,7284.844643523436,1098.0,-0.1634643674424869
10,20181002.0,756.0,1321150.416371122,1319171.4709731124,-1978.945398009615,4808.371490866467,826.0,-0.03443724706137097
11,20190103.0,819.0,1319171.4709731124,1328922.2663053651,9750.795332252746,738.6031781325875,146.0,0.29215254391777407
12,20190404.0,882.0,1328922.2663053651,1441485.8052846335,112563.5389792684,8352.173015971519,1430.0,0.4961528335226879
13,20190705.0,945.0,1441485.8052846335,1447855.552951993,6369.747667359421,1028.5996815705541,159.0,0.337690748927119
14,20191003.0,1008.0,1447855.552951993,1451186.5029592873,3330.9500072943047,2260.3893809571578,367.0,0.07222194125158903
15,20200103.0,1071.0,1451186.5029592873,1450532.986148839,-653.5168104483746,307.91042937962055,70.0,-0.19416808053598195
16,20200403.0,1134.0,1450532.986148839,1431501.6762626874,-19031.30988615146,802.6231597289702,170.0,-0.4453422938368488
17,20200706.0,1197.0,1431501.6762626874,1436587.375690136,5085.699427448679,649.3050343589165,136.0,0.2094529013039495
