,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160331.0,126.0,1000000.0,1007933.2055540907,7933.205554090673,5866.563802237759,1488.0,0.032740552965706
1,20160628.0,189.0,1007933.2055540907,958608.2524510836,-49324.95310300705,4732.327396599016,1542.0,-0.09851628772666038
2,20160923.0,252.0,958608.2524510836,1140008.9004311159,181400.64798003226,3664.0189281537127,1561.0,0.6234789088536999
3,20161221.0,315.0,1140008.9004311159,1195988.0560921307,55979.15566101484,4811.453660189583,1526.0,0.256201957261908
4,20170321.0,378.0,1195988.0560921307,1256713.285982701,60725.22989057028,4755.114446748291,1417.0,0.3123924921517467
5,20170621.0,441.0,1256713.285982701,1317359.8086151928,60646.522632491775,6602.543236502759,1503.0,0.28100160918647465
6,20170918.0,504.0,1317359.8086151928,1265571.626764246,-51788.18185094674,6271.912936189734,1585.0,-0.1527977336556872
7,20171214.0,567.0,1265571.626764246,1277435.9855730105,11864.35880876449,5996.417641946617,1129.0,0.13574860061345534
8,20180316.0,630.0,1277435.9855730105,1324198.007361866,46762.02178885555,7258.564486968168,1625.0,0.14351875874567616
9,20180618.0,693.0,1324198.007361866,1449576.7953280038,125378.78796613775,8862.290849696257,1610.0,0.5647955823010107
10,20180913.0,756.0,1449576.7953280038,1446330.5091457893,-3246.286182214506,5701.044711872051,1517.0,-0.003106591887138551
11,20181211.0,819.0,1446330.5091457893,1363661.0296432078,-82669.47950258153,2687.864833899004,613.0,-0.4638682026342479
12,20190313.0,882.0,1363661.0296432078,1444741.6735941519,81080.64395094407,5558.185152507549,983.0,0.34897060627306004
13,20190613.0,945.0,1444741.6735941519,1423790.4931190168,-20951.1804751351,5285.699080522598,941.0,-0.1407432478273692
14,20190910.0,1008.0,1423790.4931190168,1417912.3094105325,-5878.183708484285,8363.516668492655,1515.0,-0.003967896984097534
15,20191206.0,1071.0,1417912.3094105325,1548994.5217450468,131082.21233451436,4313.7635296768,1464.0,0.26865717141063483
16,20200309.0,1134.0,1548994.5217450468,1594862.2143379916,45867.69259294472,2389.5861987973717,431.0,0.29930855222855995
17,20200609.0,1197.0,1594862.2143379916,1728576.7895321972,133714.57519420562,5596.554700426202,1085.0,0.2704488965505473
