,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160401.0,126.0,1000000.0,1004788.1519920024,4788.151992002386,3496.9139375661703,1171.0,0.04340594554015915
1,20160630.0,189.0,1004788.1519920024,989541.8889597079,-15246.26303229446,1444.9972701458753,527.0,-0.184715913374291
2,20160927.0,252.0,989541.8889597079,1027965.8205383348,38423.931578626856,4195.467203803624,1397.0,0.13756921696990046
3,20161227.0,315.0,1027965.8205383348,1074518.6939128418,46552.873374507064,3523.3529006174044,1031.0,0.4796367111762461
4,20170324.0,378.0,1074518.6939128418,1121946.8529788556,47428.15906601376,5029.365246495992,1440.0,0.3407498410009795
5,20170626.0,441.0,1121946.8529788556,1194497.4500987069,72550.59711985127,4438.550107756115,1518.0,0.3430646533036886
6,20170921.0,504.0,1194497.4500987069,1155925.4891572953,-38571.960941411555,5206.860294308145,1575.0,-0.1315771726168328
7,20171219.0,567.0,1155925.4891572953,1297512.8782108722,141587.38905357686,2008.050722339761,1142.0,0.47815814516844046
8,20180321.0,630.0,1297512.8782108722,1312095.4587094744,14582.580498602241,1821.0245699456107,610.0,0.08915011755707292
9,20180621.0,693.0,1312095.4587094744,1335054.0274200495,22958.568710575113,3222.308537166814,776.0,0.20273588558326136
10,20180918.0,756.0,1335054.0274200495,1335095.2924423746,41.26502232509665,901.1608711369446,270.0,0.002031827559788579
11,20181217.0,819.0,1335095.2924423746,1336226.359039265,1131.066596890334,670.0690625206022,263.0,0.09404374104086553
12,20190321.0,882.0,1336226.359039265,1364820.484782206,28594.12574294093,4358.006633160595,1192.0,0.21931744926416946
13,20190624.0,945.0,1364820.484782206,1427769.3012175171,62948.81643531122,2567.230322234325,654.0,0.3400555229827064
14,20190919.0,1008.0,1427769.3012175171,1481570.4070098016,53801.10579228448,5896.4425518271,1474.0,0.17935679256553694
15,20191218.0,1071.0,1481570.4070098016,1472502.3853593823,-9068.021650419338,3021.2531605473805,889.0,-0.03557216483546951
16,20200323.0,1134.0,1472502.3853593823,1472364.7081490548,-137.67721032747068,1655.6781089794752,505.0,-0.00793626716177156
17,20200624.0,1197.0,1472364.7081490548,1549763.4919490172,77398.78379996237,5355.763970293178,1456.0,0.20481677634359324
