,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160404.0,126.0,1000000.0,1045855.8885008207,45855.88850082073,5031.512586696633,1331.0,0.16555005377742144
1,20160701.0,189.0,1045855.8885008207,1093889.881193391,48033.99269257032,2290.453427004044,1076.0,0.20667719126583042
2,20160930.0,252.0,1093889.881193391,1105703.4435153983,11813.56232200726,2583.5346499168313,1149.0,0.0612471562128749
3,20161230.0,315.0,1105703.4435153983,1145049.424168907,39345.9806535088,3973.3274460161388,1287.0,0.18464050283258893
4,20170403.0,378.0,1145049.424168907,1237484.6192729867,92435.19510407955,3356.324164466559,1183.0,0.6009705009039745
5,20170703.0,441.0,1237484.6192729867,1270926.2957761772,33441.67650319054,6487.982102538537,1243.0,0.27344026835852897
6,20171002.0,504.0,1270926.2957761772,1285308.9130499528,14382.617273775628,9792.050698471645,1623.0,0.091331332151146
7,20180102.0,567.0,1285308.9130499528,1368147.1647594394,82838.25170948659,4424.040963802858,1075.0,0.40769288929757097
8,20180404.0,630.0,1368147.1647594394,1413865.125945,45717.96118556056,2138.801211460494,292.0,0.18909831813151165
9,20180703.0,693.0,1413865.125945,1390466.8307640082,-23398.295180991758,8709.49211463892,1142.0,-0.07536844628043454
10,20181002.0,756.0,1390466.8307640082,1402061.1009401802,11594.270176172024,6416.908652936402,875.0,0.11791356553796468
11,20190103.0,819.0,1402061.1009401802,1415559.5107674764,13498.409827296156,908.9674212890261,163.0,0.3071801625850834
12,20190404.0,882.0,1415559.5107674764,1533373.395402946,117813.88463546964,2552.68602611479,1196.0,0.36949397357330865
13,20190705.0,945.0,1533373.395402946,1535635.2611806504,2261.865777704399,1345.0813481850616,170.0,0.16436934490642444
14,20191003.0,1008.0,1535635.2611806504,1534509.4005587471,-1125.8606219033245,2189.1548150101903,311.0,-0.018743920986163926
15,20200103.0,1071.0,1534509.4005587471,1533154.9339713482,-1354.4665873988997,314.3058138222408,68.0,-0.40252215871551367
16,20200403.0,1134.0,1533154.9339713482,1509376.9877128587,-23777.94625848951,1236.05435760437,169.0,-0.3588863563793299
17,20200706.0,1197.0,1509376.9877128587,1514802.4033107942,5425.41559793544,720.8706149342132,122.0,0.2503770680905407
