,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160331.0,126.0,1000000.0,990845.7479967029,-9154.252003297093,3091.7648094939905,1209.0,-0.004119504727693205
1,20160628.0,189.0,990845.7479967029,893110.8902625048,-97734.8577341981,2065.4942886483072,1195.0,-0.1591014174984396
2,20160923.0,252.0,893110.8902625048,1020383.7734700064,127272.88320750161,2333.4871219231145,1303.0,0.39491630190995664
3,20161221.0,315.0,1020383.7734700064,1073774.3864530597,53390.61298305332,4176.383480929063,1273.0,0.23548932633635652
4,20170321.0,378.0,1073774.3864530597,1150280.333937095,76505.94748403528,2126.423875653969,1275.0,0.33834118995888274
5,20170621.0,441.0,1150280.333937095,1273829.3552209632,123549.02128386823,4885.287574625822,1429.0,0.48264103468440367
6,20170918.0,504.0,1273829.3552209632,1261059.1074481737,-12770.24777278956,4798.695113464859,1335.0,-0.03318214685364304
7,20171214.0,567.0,1261059.1074481737,1267451.350903053,6392.243454879383,5150.00900944562,927.0,0.09751064146535617
8,20180316.0,630.0,1267451.350903053,1258857.9096407974,-8593.441262255656,7033.586079194757,1509.0,-0.014252096511513207
9,20180618.0,693.0,1258857.9096407974,1279694.4026986414,20836.493057843996,3956.4567993476003,1140.0,0.0914141836512829
10,20180913.0,756.0,1279694.4026986414,1290007.3081420183,10312.905443376862,3177.7517824225542,1356.0,0.0393256485647513
11,20181211.0,819.0,1290007.3081420183,1171453.3826422207,-118553.92549979757,3631.1800721154827,663.0,-0.5725859580404765
12,20190313.0,882.0,1171453.3826422207,1263468.3737480738,92014.99110585311,4494.430143830576,902.0,0.28828833028442025
13,20190613.0,945.0,1263468.3737480738,1233077.9360509403,-30390.437697133515,5371.616273468494,842.0,-0.11364675068069066
14,20190910.0,1008.0,1233077.9360509403,1244692.6779103177,11614.741859377362,9314.869434139491,1510.0,0.040043214439460295
15,20191206.0,1071.0,1244692.6779103177,1345539.5907148847,100846.91280456702,2571.9580870834047,1036.0,0.24284254786256707
16,20200309.0,1134.0,1345539.5907148847,1368256.179628388,22716.588913503336,1597.7111378335487,363.0,0.2051068896423228
17,20200609.0,1197.0,1368256.179628388,1525377.638372057,157121.45874366886,5964.238111979026,1136.0,0.3174545109647889
