,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160401.0,126.0,1000000.0,990547.9888297429,-9452.011170257116,3264.6362081192697,1044.0,-0.06080543928083234
1,20160630.0,189.0,990547.9888297429,975813.6301523561,-14734.358677386772,1067.213050633666,428.0,-0.22262256801046107
2,20160927.0,252.0,975813.6301523561,1040984.5282836502,65170.89813129406,3288.14262304399,1286.0,0.23221011269929837
3,20161227.0,315.0,1040984.5282836502,1062078.665782146,21094.13749849575,2644.041041232632,965.0,0.24498081320800866
4,20170324.0,378.0,1062078.665782146,1075952.9466079453,13874.280825799331,5835.367590764543,1569.0,0.09037897321820683
5,20170626.0,441.0,1075952.9466079453,1141097.2680465903,65144.32143864501,5402.291641462066,1617.0,0.32163378609342974
6,20170921.0,504.0,1141097.2680465903,1105779.944221301,-35317.32382528926,5327.731660499907,1610.0,-0.12269798878810644
7,20171219.0,567.0,1105779.944221301,1162634.9338713249,56854.98965002387,7095.383416452142,1687.0,0.28463841124143047
8,20180321.0,630.0,1162634.9338713249,1182498.2552999738,19863.321428648895,2022.509723801989,659.0,0.17169677848604153
9,20180621.0,693.0,1182498.2552999738,1196129.827795929,13631.572495955275,3109.7709135445216,735.0,0.10916933388417903
10,20180918.0,756.0,1196129.827795929,1200556.99135098,4427.163555050967,954.9325032687855,278.0,0.10324717899583766
11,20181217.0,819.0,1200556.99135098,1203481.6386857643,2924.6473347842693,464.158197468447,206.0,0.36825475856417483
12,20190321.0,882.0,1203481.6386857643,1214312.801966228,10831.163280463777,3462.627634345317,1120.0,0.07645735169969237
13,20190624.0,945.0,1214312.801966228,1278238.7059915944,63925.9040253663,2392.25152345493,671.0,0.40092733546624093
14,20190919.0,1008.0,1278238.7059915944,1301571.625351002,23332.91935940762,6860.640252476022,1649.0,0.07459789169672965
15,20191218.0,1071.0,1301571.625351002,1349966.2864185737,48394.661067571724,3673.3521921429638,924.0,0.1730080528320965
16,20200323.0,1134.0,1349966.2864185737,1349554.0480062417,-412.23841233202256,1566.0978870152817,502.0,-0.020789330220306997
17,20200624.0,1197.0,1349554.0480062417,1445525.3296115012,95971.28160525952,4508.220347950796,1378.0,0.1829969640068205
