,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160331.0,126.0,1000000.0,1042030.4342445554,42030.43424455542,4736.035695939959,1375.0,0.10949622367995711
1,20160628.0,189.0,1042030.4342445554,1005698.5745857963,-36331.85965875909,1850.880563424954,1258.0,-0.06418419798378072
2,20160923.0,252.0,1005698.5745857963,1165337.0372538725,159638.46266807616,1139.98611116446,1260.0,0.45722305067818325
3,20161221.0,315.0,1165337.0372538725,1162768.5492301423,-2568.4880237302277,4956.439373908194,1312.0,-0.002950590716779233
4,20170321.0,378.0,1162768.5492301423,1216182.8131233524,53414.263893210096,2512.1772265237432,1264.0,0.27647292366606313
5,20170621.0,441.0,1216182.8131233524,1289658.2550458913,73475.44192253891,7769.7297729511,1505.0,0.3692668672249537
6,20170918.0,504.0,1289658.2550458913,1230320.0079487315,-59338.247097159736,7957.497244030777,1661.0,-0.20096396627274807
7,20171214.0,567.0,1230320.0079487315,1278237.6825491427,47917.67460041121,5303.281974938045,1141.0,0.27364985840286427
8,20180316.0,630.0,1278237.6825491427,1261526.5335443155,-16711.149004827254,9980.41392726282,1691.0,-0.03429910198950283
9,20180618.0,693.0,1261526.5335443155,1403339.3462321302,141812.8126878147,2370.245179577783,1189.0,0.56639015554344
10,20180913.0,756.0,1403339.3462321302,1398761.9721332267,-4577.3740989034995,10502.884638325879,1727.0,-0.007941997188030167
11,20181211.0,819.0,1398761.9721332267,1282542.8494596272,-116219.12267359952,3250.155990024525,655.0,-0.5586557867128694
12,20190313.0,882.0,1282542.8494596272,1354398.602821022,71855.75336139486,5393.89901002365,1050.0,0.3823126508383329
13,20190613.0,945.0,1354398.602821022,1327990.9005089295,-26407.70231209253,4819.376052548286,800.0,-0.12578190826581023
14,20190910.0,1008.0,1327990.9005089295,1347080.5651475114,19089.66463858192,6993.669269279905,1514.0,0.05523765997706281
15,20191206.0,1071.0,1347080.5651475114,1465431.6649388717,118351.09979136032,2210.2200587683305,1305.0,0.25883064333886524
16,20200309.0,1134.0,1465431.6649388717,1509142.9070202338,43711.242081362056,2026.862764817605,442.0,0.4327570954738398
17,20200609.0,1197.0,1509142.9070202338,1694199.5697865502,185056.66276631644,3462.4580777273504,860.0,0.2293701027593414
