,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160404.0,126.0,1000000.0,1080050.2463302847,80050.24633028475,4465.444752444232,1462.0,0.2535585945624484
1,20160701.0,189.0,1080050.2463302847,1060261.7669196064,-19788.47941067838,6542.899644858446,1603.0,-0.05148567883016493
2,20160930.0,252.0,1060261.7669196064,1092109.668122892,31847.90120328567,4427.540871506997,1547.0,0.1486734463847329
3,20161230.0,315.0,1092109.668122892,1141407.2376438687,49297.56952097663,4665.659457947988,1492.0,0.2779870965561714
4,20170403.0,378.0,1141407.2376438687,1205611.7157375736,64204.47809370491,6552.65443268385,1467.0,0.344592901704383
5,20170703.0,441.0,1205611.7157375736,1221570.7253776568,15959.009640083183,5664.416132573757,1263.0,0.1051362303750482
6,20171002.0,504.0,1221570.7253776568,1297233.0700764027,75662.34469874599,7783.620080157101,1581.0,0.45063331416708724
7,20180102.0,567.0,1297233.0700764027,1420346.9787204296,123113.90864402684,8638.548012910009,1579.0,0.6603709335943638
8,20180404.0,630.0,1420346.9787204296,1435499.1963433186,15152.217622888973,2386.970026637236,367.0,0.08740950255362354
9,20180703.0,693.0,1435499.1963433186,1418454.0805270316,-17045.115816286998,6184.982560606922,1071.0,-0.0632015332277782
10,20181002.0,756.0,1418454.0805270316,1430374.7709551752,11920.6904281436,6805.72635267132,981.0,0.10244296483257398
11,20190103.0,819.0,1430374.7709551752,1436821.6058310368,6446.8348758616485,674.0291922990039,137.0,0.1782350720914754
12,20190404.0,882.0,1436821.6058310368,1414857.748599476,-21963.85723156086,7211.758426146096,1458.0,-0.04315638379520966
13,20190705.0,945.0,1414857.748599476,1417168.8292623465,2311.080662870547,1166.6402065350317,159.0,0.1449309505096246
14,20191003.0,1008.0,1417168.8292623465,1410632.5299051953,-6536.299357151147,1867.114645908605,330.0,-0.190762997435168
15,20200103.0,1071.0,1410632.5299051953,1409938.4757847348,-694.0541204605252,301.731388212185,64.0,-0.13946540395685464
16,20200403.0,1134.0,1409938.4757847348,1392447.835374107,-17490.640410627937,792.2372357216775,168.0,-0.45331282763066527
17,20200706.0,1197.0,1392447.835374107,1395990.0053372895,3542.1699631826486,506.7600125737286,100.0,0.3041391103933654
