,datadate,iter_num,begin_total_asset,end_total_asset,step_reward,turbulence,turbulence_threshold
0,20160105.0,126.0,1000000.0,999128.1447063177,-871.8552936823107,76.74834669173356,171.0940715631016
1,20160106.0,126.0,999128.1447063177,994790.0620532967,-4338.082653020974,73.44828545163648,171.0940715631016
2,20160107.0,126.0,994790.0620532967,985192.9640364705,-9597.098016826203,64.97875977922243,171.0940715631016
3,20160108.0,126.0,985192.9640364705,979730.8596302092,-5462.104406261351,64.30284177449941,171.0940715631016
4,20160111.0,126.0,979730.8596302092,981236.6919396329,1505.832309423713,63.59754794373181,171.0940715631016
5,20160112.0,126.0,981236.6919396329,985011.4310729802,3774.7391333472915,60.479092274092224,171.0940715631016
6,20160113.0,126.0,985011.4310729802,965916.4598014776,-19094.971271502553,48.34159869648286,171.0940715631016
7,20160114.0,126.0,965916.4598014776,975930.9415509491,10014.48174947151,51.37578652190349,171.0940715631016
8,20160115.0,126.0,975930.9415509491,954532.1000636,-21398.841487349127,55.07025891281538,171.0940715631016
9,20160119.0,126.0,954532.1000636,954288.3941237712,-243.70593982876744,61.982376036134575,171.0940715631016
10,20160120.0,126.0,954288.3941237712,937498.9944757643,-16789.39964800689,62.83532271063415,171.0940715631016
11,20160121.0,126.0,937498.9944757643,941342.1111189271,3843.1166431627935,65.31196216544198,171.0940715631016
12,20160122.0,126.0,941342.1111189271,953197.2434276122,11855.132308685104,80.73402849510933,171.0940715631016
13,20160125.0,126.0,953197.2434276122,937378.1489677902,-15819.094459822052,78.96129802558653,171.0940715631016
14,20160126.0,126.0,937378.1489677902,952180.5641192961,14802.415151505964,98.3054627070323,171.0940715631016
15,20160127.0,126.0,952180.5641192961,931719.4079492404,-20461.156170055736,118.8089129678022,171.0940715631016
16,20160128.0,126.0,931719.4079492404,937266.6307690094,5547.22281976894,125.35874831961635,171.0940715631016
17,20160129.0,126.0,937266.6307690094,959094.1876760761,21827.556907066726,146.69610037876666,171.0940715631016
18,20160201.0,126.0,959094.1876760761,959747.4377422598,653.2500661837403,138.98080770846104,171.0940715631016
19,20160202.0,126.0,959747.4377422598,945718.0872582969,-14029.350483962917,150.27282717418174,171.0940715631016
20,20160203.0,126.0,945718.0872582969,959444.6426056024,13726.55534730549,164.81635181346311,171.0940715631016
21,20160204.0,126.0,959444.6426056024,972114.4506579405,12669.808052338078,159.7826589418797,171.0940715631016
22,20160205.0,126.0,972114.4506579405,962533.4627311046,-9580.987926835893,165.05817479475604,171.0940715631016
23,20160208.0,126.0,962533.4627311046,947012.264199361,-15521.198531743605,165.16296408971462,171.0940715631016
24,20160209.0,126.0,947012.264199361,945397.1021654436,-1615.1620339173824,143.65416426281934,171.0940715631016
25,20160210.0,126.0,945397.1021654436,938322.3772222385,-7074.724943205132,129.16608258133985,171.0940715631016
26,20160211.0,126.0,938322.3772222385,915922.8271669942,-22399.55005524424,119.24530938164445,171.0940715631016
27,20160212.0,126.0,915922.8271669942,935725.4714483623,19802.64428136812,132.36270058497198,171.0940715631016
28,20160216.0,126.0,935725.4714483623,953203.7520840989,17478.280635736533,122.25994983177824,171.0940715631016
29,20160217.0,126.0,953203.7520840989,971884.0995026422,18680.3474185433,111.7679634583375,171.0940715631016
30,20160218.0,126.0,971884.0995026422,967929.7840681014,-3954.3154345407384,118.60361633212852,171.0940715631016
31,20160219.0,126.0,967929.7840681014,964030.3554228295,-3899.4286452719243,119.6501440344186,171.0940715631016
32,20160222.0,126.0,964030.3554228295,978875.1002307063,14844.744807876763,104.8901816883255,171.0940715631016
33,20160223.0,126.0,978875.1002307063,965159.5672287059,-13715.533002000418,99.99718682717271,171.0940715631016
34,20160224.0,126.0,965159.5672287059,967624.260187435,2464.692958729109,100.94714209695948,171.0940715631016
35,20160225.0,126.0,967624.260187435,980201.5933249097,12577.333137474721,113.56484851218413,171.0940715631016
36,20160226.0,126.0,980201.5933249097,981582.1246314162,1380.5313065064838,105.22115635729836,171.0940715631016
37,20160229.0,126.0,981582.1246314162,975965.5032407522,-5616.621390664019,88.79384248116797,171.0940715631016
38,20160301.0,126.0,975965.5032407522,1000520.6731067518,24555.169865999604,83.65846919789395,171.0940715631016
39,20160302.0,126.0,1000520.6731067518,1001068.4873942334,547.8142874815967,82.68801993170342,171.0940715631016
40,20160303.0,126.0,1001068.4873942334,1004857.1775820006,3788.6901877672644,72.61918109229288,171.0940715631016
41,20160304.0,126.0,1004857.1775820006,1011478.0497215175,6620.872139516869,70.23923251927624,171.0940715631016
42,20160307.0,126.0,1011478.0497215175,1013947.5640673629,2469.5143458454404,61.90868145148092,171.0940715631016
43,20160308.0,126.0,1013947.5640673629,1002464.530085631,-11483.033981731976,68.79503889719822,171.0940715631016
44,20160309.0,126.0,1002464.530085631,1006882.3994933356,4417.869407704682,61.29686182489816,171.0940715631016
45,20160310.0,126.0,1006882.3994933356,1006084.2668205907,-798.1326727449195,57.83065616352437,171.0940715631016
46,20160311.0,126.0,1006084.2668205907,1022810.2722010217,16726.005380430957,57.81369493088192,171.0940715631016
47,20160314.0,126.0,1022810.2722010217,1023301.5475009645,491.2752999428194,58.27120883501057,171.0940715631016
48,20160315.0,126.0,1023301.5475009645,1023117.507553739,-184.0399472254794,62.404928785697,171.0940715631016
49,20160316.0,126.0,1023117.507553739,1029590.1047997657,6472.597246026737,69.40233316274771,171.0940715631016
50,20160317.0,126.0,1029590.1047997657,1041547.1280918493,11957.023292083526,69.38766863687822,171.0940715631016
51,20160318.0,126.0,1041547.1280918493,1050378.2826271032,8831.154535253881,64.56891465882775,171.0940715631016
52,20160321.0,126.0,1050378.2826271032,1053103.3941507684,2725.111523665255,67.3877196875072,171.0940715631016
53,20160322.0,126.0,1053103.3941507684,1049560.4879432793,-3542.9062074890826,69.33407847750831,171.0940715631016
54,20160323.0,126.0,1049560.4879432793,1041273.0983593069,-8287.3895839724,59.58658369146292,171.0940715631016
55,20160324.0,126.0,1041273.0983593069,1043527.2362070732,2254.13784776628,59.2960502310444,171.0940715631016
56,20160328.0,126.0,1043527.2362070732,1043458.8702113278,-68.36599574540742,60.95501822076429,171.0940715631016
57,20160329.0,126.0,1043458.8702113278,1048932.5394345177,5473.669223189936,58.718593744575976,171.0940715631016
58,20160330.0,126.0,1048932.5394345177,1053752.7642196654,4820.2247851477005,56.307464136335156,171.0940715631016
59,20160331.0,126.0,1053752.7642196654,1052402.5666570985,-1350.1975625669584,60.018673969987326,171.0940715631016
60,20160401.0,126.0,1052402.5666570985,1062515.5648616652,10112.998204566771,61.72870008547278,171.0940715631016
61,20160404.0,126.0,1062515.5648616652,1060314.1754625202,-2201.3893991450313,64.42840610388123,171.0940715631016
62,20160406.0,189.0,1050159.3614607274,1056536.9502932057,6377.588832478272,56.39220731668064,96.08032158358223
63,20160407.0,189.0,1056536.9502932057,1042292.1413292934,-14244.808963912306,58.9660944854536,96.08032158358223
64,20160408.0,189.0,1042292.1413292934,1045454.5826509737,3162.4413216803223,55.08133712200061,96.08032158358223
65,20160411.0,189.0,1045454.5826509737,1045823.4784405492,368.8957895755302,59.09128248564568,96.08032158358223
66,20160412.0,189.0,1045823.4784405492,1056228.443263726,10404.964823176851,55.09774473713941,96.08032158358223
67,20160413.0,189.0,1056228.443263726,1071070.3858248163,14841.942561090225,49.75184573622153,96.08032158358223
68,20160414.0,189.0,1071070.3858248163,1073100.525063176,2030.1392383596394,52.124064913695115,96.08032158358223
69,20160415.0,189.0,1073100.525063176,1071536.5912895163,-1563.9337736596353,53.245976288735704,96.08032158358223
70,20160418.0,189.0,1071536.5912895163,1076822.0328010693,5285.441511553014,56.41199883763918,96.08032158358223
71,20160419.0,189.0,1076822.0328010693,1071068.3222532773,-5753.710547792027,57.04532092437526,96.08032158358223
72,20160420.0,189.0,1071068.3222532773,1072393.342275656,1325.0200223787688,67.70441345264516,96.08032158358223
73,20160421.0,189.0,1072393.342275656,1073108.8673974457,715.5251217896584,77.90166040734272,96.08032158358223
74,20160422.0,189.0,1073108.8673974457,1075740.756024036,2631.888626590371,70.42659548203899,96.08032158358223
75,20160425.0,189.0,1075740.756024036,1074911.6398143314,-829.1162097046617,72.57780907970826,96.08032158358223
76,20160426.0,189.0,1074911.6398143314,1081245.796046575,6334.156232243637,75.7199449847407,96.08032158358223
77,20160427.0,189.0,1081245.796046575,1090047.0617508446,8801.265704269521,74.64196339929737,96.08032158358223
78,20160428.0,189.0,1090047.0617508446,1076534.2231688683,-13512.838581976248,78.40012974455433,96.08032158358223
79,20160429.0,189.0,1076534.2231688683,1071453.8732384117,-5080.349930456607,68.09630156752812,96.08032158358223
80,20160502.0,189.0,1071453.8732384117,1074825.1219455018,3371.248707090039,67.1879388169169,96.08032158358223
81,20160503.0,189.0,1074825.1219455018,1064298.8867899529,-10526.2351555489,70.20289247487256,96.08032158358223
82,20160504.0,189.0,1064298.8867899529,1057270.1916601413,-7028.695129811531,72.99708222681036,96.08032158358223
83,20160505.0,189.0,1057270.1916601413,1059018.6220425894,1748.4303824480157,76.22390857111553,96.08032158358223
84,20160506.0,189.0,1059018.6220425894,1064974.9538915546,5956.331848965259,81.97295748309244,96.08032158358223
85,20160509.0,189.0,1064974.9538915546,1061889.8616201552,-3085.0922713994514,79.93902924740259,96.08032158358223
86,20160510.0,189.0,1061889.8616201552,1077852.9952642934,15963.13364413823,74.30392304010505,96.08032158358223
87,20160511.0,189.0,1077852.9952642934,1066421.5726719727,-11431.422592320712,64.31153425793352,96.08032158358223
88,20160512.0,189.0,1066421.5726719727,1069620.99188248,3199.4192105073016,59.53644221562394,96.08032158358223
89,20160513.0,189.0,1069620.99188248,1057332.0521263564,-12288.939756123582,58.0708530156054,96.08032158358223
90,20160516.0,189.0,1057332.0521263564,1069104.2722763685,11772.220150012057,59.28709151216374,96.08032158358223
91,20160517.0,189.0,1069104.2722763685,1060528.7196788273,-8575.55259754113,56.03023314702817,96.08032158358223
92,20160518.0,189.0,1060528.7196788273,1060974.050022919,445.3303440916352,60.71157572552968,96.08032158358223
93,20160519.0,189.0,1060974.050022919,1051791.9542321512,-9182.09579076781,61.6973285741991,96.08032158358223
94,20160520.0,189.0,1051791.9542321512,1054260.1678759612,2468.2136438100133,57.423819332187186,96.08032158358223
95,20160523.0,189.0,1054260.1678759612,1055440.2792550616,1180.1113791004755,60.746252456425935,96.08032158358223
96,20160524.0,189.0,1055440.2792550616,1065230.8446088908,9790.56535382918,61.2329821905015,96.08032158358223
97,20160525.0,189.0,1065230.8446088908,1076358.267849904,11127.423241013195,60.4641642707692,96.08032158358223
98,20160526.0,189.0,1076358.267849904,1074108.8312234313,-2249.4366264727432,55.011042269100116,96.08032158358223
99,20160527.0,189.0,1074108.8312234313,1076313.114337336,2204.283113904763,53.447321459924495,96.08032158358223
100,20160531.0,189.0,1076313.114337336,1069053.8843673202,-7259.229970015818,56.11274230745728,96.08032158358223
101,20160601.0,189.0,1069053.8843673202,1069545.2936818984,491.40931457816623,59.594661433800574,96.08032158358223
102,20160602.0,189.0,1069545.2936818984,1070891.6782760513,1346.3845941529144,63.04574681435594,96.08032158358223
103,20160603.0,189.0,1070891.6782760513,1066904.833588848,-3986.844687203411,72.4063762572367,96.08032158358223
