,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160331.0,126.0,1000000.0,1015429.559846657,15429.559846656979,3916.3388364739744,1416.0,0.05534677616409613
1,20160628.0,189.0,1015429.559846657,976708.6960067562,-38720.86383990082,3089.898247518664,1419.0,-0.06834856809655286
2,20160923.0,252.0,976708.6960067562,1095951.9956557245,119243.29964896839,4642.359457216614,1545.0,0.3989360258654654
3,20161221.0,315.0,1095951.9956557245,1091866.7273548152,-4085.268300909316,5459.3292018224365,1435.0,-0.01686239303133198
4,20170321.0,378.0,1091866.7273548152,1131674.3132808832,39807.585926068015,5244.455328003073,1563.0,0.23391429035904115
5,20170621.0,441.0,1131674.3132808832,1177369.0857578085,45694.77247692528,6907.945374464422,1615.0,0.22462007945172066
6,20170918.0,504.0,1177369.0857578085,1148816.8258482104,-28552.259909598157,6532.059819261915,1568.0,-0.09230917476622594
7,20171214.0,567.0,1148816.8258482104,1210055.453858425,61238.62801021454,5138.782153189843,1074.0,0.37478913841695183
8,20180316.0,630.0,1210055.453858425,1222580.7777839303,12525.323925505392,7585.20694558762,1585.0,0.04712202937978133
9,20180618.0,693.0,1222580.7777839303,1271724.6369612925,49143.859177362174,6693.476996531002,1607.0,0.19069098197774265
10,20180913.0,756.0,1271724.6369612925,1184125.4167189072,-87599.22024238529,6278.383715045313,1515.0,-0.21577154251192715
11,20181211.0,819.0,1184125.4167189072,1124176.8487414892,-59948.56797741796,3177.8238605059446,612.0,-0.5644139371761983
12,20190313.0,882.0,1124176.8487414892,1219154.6993008382,94977.85055934894,5733.252927504906,1057.0,0.34041672077592733
13,20190613.0,945.0,1219154.6993008382,1184559.7217165665,-34594.97758427169,4957.898397975622,905.0,-0.22052405907230876
14,20190910.0,1008.0,1184559.7217165665,1197042.9200621066,12483.198345540091,7741.557074661398,1493.0,0.040883124860085704
15,20191206.0,1071.0,1197042.9200621066,1256467.346526507,59424.42646440049,8395.20808094809,1610.0,0.18296021229247567
16,20200309.0,1134.0,1256467.346526507,1265376.0205203164,8908.673993809381,2326.149333146673,439.0,0.14506184398306046
17,20200609.0,1197.0,1265376.0205203164,1383212.7990115127,117836.77849119622,5349.666437751713,1226.0,0.21656918145404105
