,datadate,iter_num,begin_total_asset,end_total_asset,step_reward,turbulence,turbulence_threshold
0,20160104.0,126.0,1000000.0,997972.4380566991,-2027.5619433008833,65.51440576836966,205.1653397652943
1,20160105.0,126.0,997972.4380566991,996880.479844373,-1091.9582123261644,69.3402365348938,205.1653397652943
2,20160106.0,126.0,996880.479844373,994376.9719521338,-2503.5078922391403,63.51725084627609,205.1653397652943
3,20160107.0,126.0,994376.9719521338,992060.4531541739,-2316.5187979598995,64.03044342450407,205.1653397652943
4,20160108.0,126.0,992060.4531541739,988780.9558307661,-3279.4973234077916,72.62021589666766,205.1653397652943
5,20160111.0,126.0,988780.9558307661,985098.7647060682,-3682.1911246979143,86.42132284115524,205.1653397652943
6,20160112.0,126.0,985098.7647060682,995378.254027992,10279.489321923815,79.7161045446313,205.1653397652943
7,20160113.0,126.0,995378.254027992,993299.215941397,-2079.0380865950137,75.24602989982094,205.1653397652943
8,20160114.0,126.0,993299.215941397,977919.1906433068,-15380.025298090186,75.64658810678856,205.1653397652943
9,20160115.0,126.0,977919.1906433068,964015.9795122534,-13903.211131053395,86.09114095346729,205.1653397652943
10,20160118.0,126.0,964015.9795122534,964104.5799941256,88.600481872214,81.46211219308748,205.1653397652943
11,20160119.0,126.0,964104.5799941256,985726.2219682549,21621.64197412925,93.88128190272684,205.1653397652943
12,20160120.0,126.0,985726.2219682549,957448.991284365,-28277.23068388994,85.16097351827383,205.1653397652943
13,20160121.0,126.0,957448.991284365,970604.3004625832,13155.309178218246,77.32671378112535,205.1653397652943
14,20160122.0,126.0,970604.3004625832,998982.7637661229,28378.46330353967,81.0300021986883,205.1653397652943
15,20160125.0,126.0,998982.7637661229,1006112.3005047579,7129.536738635041,93.4362849953905,205.1653397652943
16,20160126.0,126.0,1006112.3005047579,1008712.8363742233,2600.5358694654424,89.86163394218777,205.1653397652943
17,20160127.0,126.0,1008712.8363742233,1018299.0548417228,9586.218467499479,99.55006798988592,205.1653397652943
18,20160128.0,126.0,1018299.0548417228,1001227.9476174006,-17071.107224322273,94.52280408305309,205.1653397652943
19,20160129.0,126.0,1001227.9476174006,1027266.4478778758,26038.500260475208,96.59148217408514,205.1653397652943
20,20160201.0,126.0,1027266.4478778758,1028735.1237828255,1468.6759049497778,115.54910032381744,205.1653397652943
21,20160202.0,126.0,1028735.1237828255,1011438.1632974269,-17296.960485398653,127.64659236301084,205.1653397652943
22,20160203.0,126.0,1011438.1632974269,1006020.9968171866,-5417.166480240296,117.24984062343292,205.1653397652943
23,20160204.0,126.0,1006020.9968171866,1001839.9289795911,-4181.067837595474,117.18398922648987,205.1653397652943
24,20160205.0,126.0,1001839.9289795911,990754.9259946268,-11085.002984964289,122.11365638006187,205.1653397652943
25,20160208.0,126.0,990754.9259946268,956168.5961922819,-34586.3298023449,148.69173741173606,205.1653397652943
26,20160209.0,126.0,956168.5961922819,944176.6190413593,-11991.977150922641,130.09655581120103,205.1653397652943
27,20160210.0,126.0,944176.6190413593,953859.6843159661,9683.065274606808,133.88885342927213,205.1653397652943
28,20160211.0,126.0,953859.6843159661,913043.3603690778,-40816.323946888326,147.9814873410177,205.1653397652943
29,20160212.0,126.0,913043.3603690778,928654.5320031727,15611.171634094906,150.9565796729295,205.1653397652943
30,20160215.0,126.0,928654.5320031727,964688.3597621047,36033.82775893202,137.53650383676816,205.1653397652943
31,20160216.0,126.0,964688.3597621047,962815.5190066956,-1872.8407554090954,169.62364849938209,205.1653397652943
32,20160217.0,126.0,962815.5190066956,984814.9540415707,21999.43503487506,153.73993273029052,205.1653397652943
33,20160218.0,126.0,984814.9540415707,996874.5530221261,12059.598980555427,145.46918833326072,205.1653397652943
34,20160219.0,126.0,996874.5530221261,991680.9246081962,-5193.628413929837,123.60966383697813,205.1653397652943
35,20160222.0,126.0,991680.9246081962,1007053.5354088896,15372.610800693394,116.25444706830677,205.1653397652943
36,20160223.0,126.0,1007053.5354088896,994593.3559282832,-12460.179480606457,121.93036802121486,205.1653397652943
37,20160224.0,126.0,994593.3559282832,976882.3969660611,-17710.958962222096,108.25039003955736,205.1653397652943
38,20160225.0,126.0,976882.3969660611,996173.1340393324,19290.737073271303,114.77491752067152,205.1653397652943
39,20160226.0,126.0,996173.1340393324,1009597.0786413766,13423.944602044183,107.86603994226246,205.1653397652943
40,20160229.0,126.0,1009597.0786413766,1015876.6999000123,6279.621258635772,108.90992232448536,205.1653397652943
41,20160301.0,126.0,1015876.6999000123,1027527.362114968,11650.662214955664,93.03335408691869,205.1653397652943
42,20160302.0,126.0,1027527.362114968,1028749.1150031884,1221.7528882203624,81.45623960611313,205.1653397652943
43,20160303.0,126.0,1028749.1150031884,1022129.3508044294,-6619.764198758989,75.98209999600434,205.1653397652943
44,20160304.0,126.0,1022129.3508044294,1030996.756047923,8867.405243493617,69.00712864313384,205.1653397652943
45,20160307.0,126.0,1030996.756047923,1026362.9667409059,-4633.789307017112,67.97969471947377,205.1653397652943
46,20160308.0,126.0,1026362.9667409059,1021294.6552471265,-5068.311493779416,61.194964286630785,205.1653397652943
47,20160309.0,126.0,1021294.6552471265,1027502.1272536645,6207.472006538068,59.59210131788842,205.1653397652943
48,20160310.0,126.0,1027502.1272536645,1013848.7957432971,-13653.331510367454,60.37420590427538,205.1653397652943
49,20160311.0,126.0,1013848.7957432971,1044787.1703381883,30938.37459489121,64.85686311301836,205.1653397652943
50,20160314.0,126.0,1044787.1703381883,1042135.181299567,-2651.9890386213083,67.23885766829575,205.1653397652943
