,datadate,iter_num,begin_total_asset,end_total_asset,step_reward,turbulence,turbulence_threshold
0,20160105.0,126.0,1000000.0,1000168.4398385324,168.4398385323584,76.74834669173356,171.0940715631016
1,20160106.0,126.0,1000168.4398385324,998128.6861974561,-2039.7536410762696,73.44828545163648,171.0940715631016
2,20160107.0,126.0,998128.6861974561,994020.6576919453,-4108.028505510767,64.97875977922243,171.0940715631016
3,20160108.0,126.0,994020.6576919453,991277.1067695874,-2743.550922357943,64.30284177449941,171.0940715631016
4,20160111.0,126.0,991277.1067695874,992042.6011743796,765.4944047922036,63.59754794373181,171.0940715631016
5,20160112.0,126.0,992042.6011743796,994116.7979785058,2074.196804126259,60.479092274092224,171.0940715631016
6,20160113.0,126.0,994116.7979785058,987042.9808532842,-7073.817125221598,48.34159869648286,171.0940715631016
7,20160114.0,126.0,987042.9808532842,990124.3087302538,3081.32787696959,51.37578652190349,171.0940715631016
8,20160115.0,126.0,990124.3087302538,981087.4048909778,-9036.903839276056,55.07025891281538,171.0940715631016
9,20160119.0,126.0,981087.4048909778,982015.8329060153,928.4280150375562,61.982376036134575,171.0940715631016
10,20160120.0,126.0,982015.8329060153,976196.4925644306,-5819.340341584757,62.83532271063415,171.0940715631016
11,20160121.0,126.0,976196.4925644306,981828.774756947,5632.2821925163735,65.31196216544198,171.0940715631016
12,20160122.0,126.0,981828.774756947,989109.9559176802,7281.18116073322,80.73402849510933,171.0940715631016
13,20160125.0,126.0,989109.9559176802,982219.2891313297,-6890.666786350426,78.96129802558653,171.0940715631016
14,20160126.0,126.0,982219.2891313297,989183.5802640704,6964.291132740676,98.3054627070323,171.0940715631016
15,20160127.0,126.0,989183.5802640704,978726.9675826952,-10456.612681375234,118.8089129678022,171.0940715631016
16,20160128.0,126.0,978726.9675826952,984937.5746525407,6210.607069845544,125.35874831961635,171.0940715631016
17,20160129.0,126.0,984937.5746525407,1003040.0560629109,18102.48141037021,146.69610037876666,171.0940715631016
18,20160201.0,126.0,1003040.0560629109,1003974.0560764638,934.0000135528389,138.98080770846104,171.0940715631016
19,20160202.0,126.0,1003974.0560764638,989960.0345363053,-14014.021540158428,150.27282717418174,171.0940715631016
20,20160203.0,126.0,989960.0345363053,997477.8837609192,7517.849224613863,164.81635181346311,171.0940715631016
21,20160204.0,126.0,997477.8837609192,997857.0860555933,379.2022946741199,159.7826589418797,171.0940715631016
22,20160205.0,126.0,997857.0860555933,983334.520239464,-14522.565816129325,165.05817479475604,171.0940715631016
23,20160208.0,126.0,983334.520239464,971097.6507823024,-12236.869457161636,165.16296408971462,171.0940715631016
24,20160209.0,126.0,971097.6507823024,970140.3793847357,-957.2713975666557,143.65416426281934,171.0940715631016
25,20160210.0,126.0,970140.3793847357,972404.5565861022,2264.1772013665177,129.16608258133985,171.0940715631016
26,20160211.0,126.0,972404.5565861022,959260.3909170215,-13144.165669080685,119.24530938164445,171.0940715631016
27,20160212.0,126.0,959260.3909170215,976721.8831854905,17461.49226846895,132.36270058497198,171.0940715631016
28,20160216.0,126.0,976721.8831854905,988329.5768162163,11607.693630725844,122.25994983177824,171.0940715631016
29,20160217.0,126.0,988329.5768162163,1005971.5955054677,17642.01868925139,111.7679634583375,171.0940715631016
