,datadate,iter_num,begin_total_asset,end_total_asset,step_reward,turbulence,turbulence_threshold
0,20160105.0,126.0,1000000.0,999851.9061918991,-148.09380810090806,76.74834669173356,171.0940715631016
1,20160106.0,126.0,999851.9061918991,995821.8522835074,-4030.0539083917392,73.44828545163648,171.0940715631016
2,20160107.0,126.0,995821.8522835074,989945.0271501384,-5876.825133368955,64.97875977922243,171.0940715631016
3,20160108.0,126.0,989945.0271501384,987162.7636028797,-2782.2635472586844,64.30284177449941,171.0940715631016
4,20160111.0,126.0,987162.7636028797,987610.5583673281,447.79476444842294,63.59754794373181,171.0940715631016
5,20160112.0,126.0,987610.5583673281,989817.8332154516,2207.2748481234303,60.479092274092224,171.0940715631016
6,20160113.0,126.0,989817.8332154516,979769.8425667528,-10047.99064869876,48.34159869648286,171.0940715631016
7,20160114.0,126.0,979769.8425667528,986623.90684845,6854.064281697152,51.37578652190349,171.0940715631016
8,20160115.0,126.0,986623.90684845,973802.9651468544,-12820.941701595555,55.07025891281538,171.0940715631016
9,20160119.0,126.0,973802.9651468544,973030.8254416584,-772.139705196023,61.982376036134575,171.0940715631016
10,20160120.0,126.0,973030.8254416584,959801.4239972434,-13229.40144441498,62.83532271063415,171.0940715631016
11,20160121.0,126.0,959801.4239972434,964487.3617188723,4685.937721628929,65.31196216544198,171.0940715631016
12,20160122.0,126.0,964487.3617188723,978184.8098550444,13697.448136172025,80.73402849510933,171.0940715631016
13,20160125.0,126.0,978184.8098550444,963090.305682211,-15094.504172833404,78.96129802558653,171.0940715631016
14,20160126.0,126.0,963090.305682211,978702.6708943492,15612.365212138277,98.3054627070323,171.0940715631016
15,20160127.0,126.0,978702.6708943492,968016.3537638648,-10686.317130484385,118.8089129678022,171.0940715631016
16,20160128.0,126.0,968016.3537638648,976080.4082327785,8064.054468913702,125.35874831961635,171.0940715631016
17,20160129.0,126.0,976080.4082327785,1000992.2032319419,24911.794999163365,146.69610037876666,171.0940715631016
18,20160201.0,126.0,1000992.2032319419,997481.733751286,-3510.4694806558546,138.98080770846104,171.0940715631016
19,20160202.0,126.0,997481.733751286,977801.7792517391,-19679.954499546904,150.27282717418174,171.0940715631016
20,20160203.0,126.0,977801.7792517391,989067.8431345184,11266.063882779214,164.81635181346311,171.0940715631016
21,20160204.0,126.0,989067.8431345184,991433.0751684251,2365.2320339067373,159.7826589418797,171.0940715631016
22,20160205.0,126.0,991433.0751684251,975886.2684051811,-15546.806763243978,165.05817479475604,171.0940715631016
23,20160208.0,126.0,975886.2684051811,955923.4199172672,-19962.848487913958,165.16296408971462,171.0940715631016
24,20160209.0,126.0,955923.4199172672,954681.930967217,-1241.4889500502031,143.65416426281934,171.0940715631016
25,20160210.0,126.0,954681.930967217,954206.5622086766,-475.3687585403677,129.16608258133985,171.0940715631016
26,20160211.0,126.0,954206.5622086766,935515.5607598055,-18691.001448871102,119.24530938164445,171.0940715631016
27,20160212.0,126.0,935515.5607598055,962791.701554247,27276.140794441453,132.36270058497198,171.0940715631016
28,20160216.0,126.0,962791.701554247,976271.802024619,13480.10047037201,122.25994983177824,171.0940715631016
29,20160217.0,126.0,976271.802024619,990551.9211724891,14280.119147870108,111.7679634583375,171.0940715631016
30,20160218.0,126.0,990551.9211724891,981145.4489182734,-9406.472254215623,118.60361633212852,171.0940715631016
31,20160219.0,126.0,981145.4489182734,981747.1203936251,601.6714753516717,119.6501440344186,171.0940715631016
32,20160222.0,126.0,981747.1203936251,994446.1943581916,12699.073964566458,104.8901816883255,171.0940715631016
33,20160223.0,126.0,994446.1943581916,979246.8075174926,-15199.386840699008,99.99718682717271,171.0940715631016
34,20160224.0,126.0,979246.8075174926,982463.0235595977,3216.2160421051085,100.94714209695948,171.0940715631016
35,20160225.0,126.0,982463.0235595977,995943.5570767615,13480.533517163829,113.56484851218413,171.0940715631016
36,20160226.0,126.0,995943.5570767615,996170.9292229288,227.37214616732672,105.22115635729836,171.0940715631016
37,20160229.0,126.0,996170.9292229288,986779.5291366327,-9391.40008629614,88.79384248116797,171.0940715631016
38,20160301.0,126.0,986779.5291366327,1013624.3790877431,26844.84995111043,83.65846919789395,171.0940715631016
39,20160302.0,126.0,1013624.3790877431,1015449.782526749,1825.4034390058368,82.68801993170342,171.0940715631016
40,20160303.0,126.0,1015449.782526749,1018862.4335607359,3412.651033986942,72.61918109229288,171.0940715631016
41,20160304.0,126.0,1018862.4335607359,1020686.5761428506,1824.1425821146695,70.23923251927624,171.0940715631016
42,20160307.0,126.0,1020686.5761428506,1019268.1527859784,-1418.4233568721684,61.90868145148092,171.0940715631016
43,20160308.0,126.0,1019268.1527859784,1007528.7459969819,-11739.406788996537,68.79503889719822,171.0940715631016
44,20160309.0,126.0,1007528.7459969819,1006504.1379986634,-1024.6079983185045,61.29686182489816,171.0940715631016
45,20160310.0,126.0,1006504.1379986634,1007348.8975811369,844.7595824735472,57.83065616352437,171.0940715631016
46,20160311.0,126.0,1007348.8975811369,1022626.7593133596,15277.861732222722,57.81369493088192,171.0940715631016
47,20160314.0,126.0,1022626.7593133596,1021273.2549985388,-1353.5043148208642,58.27120883501057,171.0940715631016
48,20160315.0,126.0,1021273.2549985388,1019844.3387795173,-1428.9162190214265,62.404928785697,171.0940715631016
49,20160316.0,126.0,1019844.3387795173,1019083.5365892901,-760.8021902272012,69.40233316274771,171.0940715631016
50,20160317.0,126.0,1019083.5365892901,1026492.3304222515,7408.7938329613535,69.38766863687822,171.0940715631016
51,20160318.0,126.0,1026492.3304222515,1043371.3558446154,16879.02542236389,64.56891465882775,171.0940715631016
52,20160321.0,126.0,1043371.3558446154,1040122.6099638637,-3248.7458807516377,67.3877196875072,171.0940715631016
53,20160322.0,126.0,1040122.6099638637,1032915.8873095836,-7206.722654280136,69.33407847750831,171.0940715631016
54,20160323.0,126.0,1032915.8873095836,1032580.4347105359,-335.4525990476832,59.58658369146292,171.0940715631016
