,0
0,1000000.0
1,999725.9192690423
2,999639.0352977372
3,998973.7819312488
4,998978.094230104
5,997021.1560255926
6,995910.3769931393
7,994600.5637054015
8,990411.6495307449
9,987415.3908460462
10,987931.3176294888
11,986518.2132840117
12,984402.7865925645
13,985865.6902770682
14,984273.3250136327
15,982138.3698022142
16,983839.6173193553
17,983293.281857484
18,988533.9674015247
19,986881.0819536743
20,985503.1108966204
21,982464.5879221314
22,984559.2433622079
23,986772.9775382602
24,986907.5993586933
25,990663.5446290858
26,991571.6316737846
27,987421.1612640218
28,987665.0470953158
29,982933.8808990206
30,982932.0934812272
31,981841.9258390178
32,974385.9700548658
33,973539.171825265
34,975030.0227237064
35,966330.6812498735
36,962038.9125905554
37,957823.2507463838
38,956796.5525399363
39,960363.6502109288
40,954923.9409016098
41,948249.9306466989
42,946383.4396661862
43,956673.8771395781
44,946243.0759989566
45,943517.6933249409
46,942849.2111947413
47,954051.172382405
48,953688.2309101165
49,955046.927865258
50,956527.408376107
51,960698.6780938474
52,958957.2990246447
53,957494.6739592637
54,960835.4889374865
55,959029.6586011237
56,963956.8288140724
57,965592.8166858702
58,973926.9068275695
59,977989.3620889497
60,975941.8110993414
61,962626.0380593375
62,975345.4152288301
63,979068.812790634
64,992924.1355618311
65,989966.1982824937
66,998717.0539977886
67,999350.74184534
68,1002781.6604034572
69,1009631.0082550345
70,1014671.3055967836
71,1010048.2817536606
72,1016363.1066629785
73,1032474.7112119403
74,1016285.3956499165
75,1014143.1610150097
76,1019216.2245932037
77,1019116.3055311705
78,1024416.4400342773
79,1025184.5742872442
80,1022363.2882025392
81,1027835.3170619903
82,1032416.3843816505
83,1048966.8256791416
84,1052945.7410586758
85,1059342.5985587542
86,1063303.7316612466
87,1065661.2426649176
88,1060879.1936080256
89,1059181.4604458562
90,1044489.8902178323
91,1031949.7993775017
92,1031696.4056030482
93,1037371.7774339505
94,1041306.077078476
95,1050039.9722067676
96,1036437.3514564696
97,1035297.8207699864
98,1035132.0800836008
99,1036448.0500798256
100,1037975.1249273611
101,1031925.8491512625
102,1031072.1913697927
103,1048521.9275858651
104,1051840.6126850238
105,1040410.0056959984
106,1043927.3666595654
107,1043992.912528649
108,1038662.5387047294
109,1038830.3587704154
110,1048133.503251447
111,1052194.3967158613
112,1053125.0285168851
113,1034589.4428018944
114,1030320.0337643583
115,1018482.0733011236
116,1036746.1050715034
117,1040082.4631874268
118,1021078.2408627698
119,1026095.9466900594
120,1034096.2747226246
121,1030865.1233143257
122,1025232.203810657
123,1036490.2063368051
124,1032005.2209874477
125,1050432.3993839002
126,1031854.0193951974
127,1026987.8382775014
128,1017978.3815321154
129,1009413.4497719489
130,1012176.9298567186
131,1020512.3318788579
132,1005984.8237952051
133,1031612.9125110732
134,1039091.7664947679
135,1059672.3596663277
136,1062634.0850466455
137,1063257.3344245623
138,1066417.632897365
139,1072259.4408642387
140,1074762.3570127506
141,1083204.8050944952
142,1071980.150646051
143,1077827.7152729328
144,1070956.277750509
145,1077415.160931615
146,1087426.5099830206
147,1086510.015228101
148,1101586.1192742034
149,1097028.7970262046
150,1097130.1377473813
151,1099439.4219782199
152,1107768.1488172943
153,1113667.8520933867
154,1093649.488640168
155,1110395.1401162737
156,1119044.8420288544
157,1101533.7926106239
158,1090971.3890452902
159,1104744.906463839
160,1122399.620987553
161,1125831.7001081887
162,1142648.8869797122
163,1153665.3977810114
164,1162504.6322599023
165,1178860.3504823204
166,1183648.83985165
167,1198194.1043473633
168,1191897.3789631757
169,1168141.369656334
170,1158169.9077421983
171,1168377.1899370842
172,1180132.6708229727
173,1194677.9300970838
174,1194926.71836879
175,1238867.4318548613
176,1232770.8604480196
177,1245009.6701233282
178,1241100.985114344
179,1271879.1272269967
180,1290389.585965318
181,1302687.8495011334
182,1290496.0654209626
183,1271865.4022489644
184,1297126.6891963657
185,1293134.0828088915
186,1274543.3737023456
187,1280969.2175479631
188,1305318.2672125387
189,1310591.035106698
190,1313122.9303366845
191,1284709.4233911475
192,1258351.591728587
193,1269643.8661246635
194,1301613.6179298826
195,1307862.3937788266
196,1319598.5266273834
197,1314272.1414381017
198,1320033.9195131143
199,1312097.4119583769
200,1328729.8876030268
201,1327174.7796929681
202,1300903.3393700004
203,1321544.5471528727
204,1307708.1714715734
205,1311357.0802504912
206,1295734.2820385958
207,1290050.5286971768
208,1264135.2618573608
209,1245497.0245324431
210,1209223.3150623066
211,1242522.3078057575
212,1211988.5497086404
213,1213908.5615930047
214,1203639.4580820466
215,1233148.4686778123
216,1241326.85607582
217,1243581.9560837229
218,1274830.1200649627
219,1245933.0093097764
220,1257770.8923896784
221,1251978.6271988475
222,1257552.151647886
223,1278737.2010283289
224,1266474.1435446197
225,1266440.6385477064
226,1247071.7342082383
227,1229716.8519503064
228,1254362.7527070404
229,1245609.6970384624
230,1251055.261690375
231,1206960.1575045325
232,1223247.354797746
233,1211347.083874395
234,1247730.6235942086
235,1256734.7401551006
236,1260801.3176406608
237,1273868.1898257262
238,1272540.2227612026
239,1253513.3272067807
240,1247238.6365986706
241,1255513.5745790773
242,1267573.4969688437
243,1281292.6749693232
244,1283818.1222226575
245,1300742.491938576
246,1284767.113979182
247,1284644.8057048128
248,1300600.84421398
249,1297988.0805749113
250,1297310.5427308765
251,1304526.9490802083
252,1305476.2130333236
253,1302522.5102392018
254,1314143.6431661926
255,1305669.1497831414
256,1313931.1924051486
257,1324016.5502068575
258,1324483.7699371285
259,1330350.1403585589
260,1309430.4059838864
261,1310607.7094493795
262,1317344.2955808225
263,1298380.4737942247
264,1302236.8945156618
265,1310315.8866626003
266,1288846.1524392448
267,1270361.2481125942
268,1261226.9210296592
269,1249015.2904541772
270,1259678.8730362486
271,1247100.7045351134
272,1226912.3839600943
273,1244010.8686603955
274,1257267.6957513473
275,1268859.5733230112
276,1259505.1285406419
277,1231669.6286795428
278,1207077.9448206134
279,1214452.618313916
280,1212083.7178996128
281,1223337.203071271
282,1210001.9077010427
283,1211308.3300402914
284,1210669.2833488013
285,1222496.4713186938
286,1241649.5498604537
287,1252247.4998871745
288,1257634.499487484
289,1253954.3171177024
290,1224876.4912976122
291,1236259.0247376794
292,1213881.1070027885
293,1223586.2255068035
294,1248133.2277255214
295,1262277.0141423722
296,1273936.7452270077
297,1268360.9961935424
298,1283601.209799073
299,1285672.320656855
300,1284516.3134721946
301,1291521.4229883559
302,1303254.0476297624
303,1307921.1877627673
304,1302861.8180761796
305,1319064.3008520082
306,1333329.618318068
307,1330345.9038522905
308,1330027.3583940924
309,1331781.040870827
310,1320913.4245062594
311,1324182.2298641072
312,1334197.843637629
313,1339508.1575754643
314,1348565.8981732011
315,1340977.038907393
316,1341965.5380265785
317,1360920.1115214315
318,1366436.4793626084
319,1363332.8884899886
320,1349241.5079418868
321,1358691.325663676
322,1363142.5372616253
323,1352580.2041816136
324,1366347.84704545
325,1366863.1958595088
326,1354397.0527386724
327,1351278.6859948891
328,1375388.5801845484
329,1378351.4501091659
330,1373902.7677504686
331,1383228.9036466482
332,1391934.7974219809
333,1364401.6204490005
334,1336786.1821661189
335,1358768.864923441
336,1357842.4760126164
337,1362209.9530750138
338,1329071.2733882086
339,1317338.5945285582
340,1312482.3900597047
341,1273633.6095642657
342,1333845.809341662
343,1336510.177609587
344,1365766.6507290648
345,1381908.257772142
346,1343529.0088097795
347,1337154.8092833576
348,1360744.5547425179
349,1331590.309337386
350,1303546.783685467
351,1287400.1808811203
352,1292757.3223258546
353,1259008.55965587
354,1288446.1488868862
355,1314588.6168709013
356,1314850.9825323282
357,1324251.6637517682
358,1333401.6997047868
359,1334828.7821456627
360,1348447.9859440662
361,1321223.8966122675
362,1313965.5954984103
363,1309596.105352995
364,1334150.6737813156
365,1355937.0873207022
366,1348546.0610839254
367,1368504.5956865516
368,1383905.8558548812
369,1386343.960868486
370,1397776.2423316902
371,1397896.793866585
372,1413428.0227827313
373,1405428.3084365365
374,1400487.4336354048
375,1387723.7234290645
376,1375929.974721707
377,1391199.0836907548
378,1349693.0204395652
379,1347990.223242095
380,1322367.4472786193
381,1311941.5137350734
382,1310520.6671437218
383,1334438.894694244
384,1338882.5707228407
385,1349444.652948125
386,1356860.071782695
387,1369717.9282274728
388,1404392.2239506277
389,1417675.4219154352
390,1403745.3098412226
391,1385924.324562447
392,1378208.01042671
393,1367641.8909539573
394,1378021.7144977844
395,1416542.4821510066
396,1421827.4112405195
397,1427698.3800848038
398,1429244.165043899
399,1423965.0367867155
400,1430356.531108655
401,1435311.6464681297
402,1478622.5087906804
403,1470252.2374253594
404,1460958.6166085852
405,1469230.1851165623
406,1446467.0608918492
407,1472294.0001148684
408,1459937.0538466629
409,1424357.7931497502
410,1419538.9661900166
411,1412114.2974562293
412,1420405.3672603422
413,1434707.1609386774
414,1434532.369912809
415,1415890.6231963283
416,1402999.0338400889
417,1411733.9320232784
418,1391611.8402547354
419,1380114.9327342357
420,1392440.4037918579
421,1407499.1257586589
422,1394859.3896861142
423,1397678.2284772831
424,1436518.38985947
425,1433416.3481741834
426,1454213.2920105532
427,1454212.8197691734
428,1451186.9891184904
429,1464728.7728975897
430,1479018.8030737613
431,1490343.970324816
432,1499136.3778810927
433,1506092.7958510043
434,1505078.5890652034
435,1510212.4370568765
436,1514817.7586754635
437,1530867.4090683733
438,1532128.6039910696
439,1505602.8753820811
440,1492225.6455015861
441,1502304.480902863
442,1492722.048023744
443,1491339.9445655209
444,1483421.4903349555
445,1473498.438651112
446,1463587.3354134047
447,1439193.3793103665
448,1453200.572920399
449,1473115.1114183047
450,1480726.751598395
451,1491967.5945813423
452,1497065.5429856228
453,1501839.260414239
454,1524708.5608387778
455,1534825.917987908
456,1544360.2427995177
457,1548426.3259812333
458,1536933.6632218366
459,1541621.478656247
460,1561822.1269020583
461,1572808.659960319
462,1601067.4680197414
463,1601675.861626136
464,1588099.9623046818
465,1608892.1026056523
466,1613244.992174369
467,1599282.1215561726
468,1607065.387860512
469,1604344.945325548
470,1626097.280655196
471,1630980.6169773855
472,1642560.1333787239
473,1648081.8581510838
474,1620869.864350484
475,1633116.7283581917
476,1653674.7740680664
477,1665057.2247005496
478,1640553.6767082936
479,1647686.4201434443
480,1685134.9122028735
481,1699500.7323620701
482,1710891.622359868
483,1661206.3920378576
484,1696151.0139820003
485,1723048.537487818
486,1718597.1166445457
487,1691414.2216968148
488,1683364.0082336257
489,1734939.7185889788
490,1762741.7269722775
491,1777758.1998112954
492,1788958.0337593001
493,1799897.6217784977
494,1763080.6137730875
495,1740687.4741088287
496,1764012.5686485851
497,1778365.1761844018
498,1772307.2173922528
499,1778684.1923855974
500,1766763.2198198067
501,1740223.6901654678
502,1769651.9554730034
503,1790345.8484179396
504,1792012.5895532307
505,1786569.9547338118
506,1751138.4336712034
507,1750803.8677670208
508,1765717.8272709947
509,1739932.1516092527
510,1781290.5901590423
511,1781812.2599683504
512,1757257.5535939126
513,1755737.8067712556
514,1764328.3957607278
515,1746268.3405233948
516,1780698.9645634573
517,1797153.6217699791
518,1780107.4884554553
519,1775961.4243798351
520,1770722.644480092
521,1766270.8577068902
522,1758633.758060958
523,1725464.238067176
524,1727920.440041408
525,1746345.952646347
526,1741460.850810655
527,1781075.0295785225
528,1793834.553371263
529,1793723.7139357505
530,1788014.8393427334
531,1811927.4223830434
532,1796183.5209135849
533,1794604.1641680333
534,1793740.7875613538
535,1821049.0960893899
536,1844674.1122171488
537,1844865.1070764512
538,1848214.5917466858
539,1870660.248792188
540,1864521.6247990285
541,1843004.4298168798
