,0
0,-87.49457722366787
1,-192.88271939195693
2,-79.73402553866617
3,-629.5034515054431
4,-1043.304306043312
5,-618.8655688633444
6,-1678.5393737861887
7,-4008.9992093598703
8,-2259.557460641139
9,-15.080494891502894
10,-371.0209768501809
11,-2265.3057335547637
12,-124.98492588219233
13,-1019.0552650621394
14,-950.9156876979396
15,3746.2068495732965
16,-895.979076065938
17,8793.760875073029
18,-4464.46273092553
19,-2038.3063495134702
20,-3358.948894777335
21,4235.613966531702
22,1778.121658489108
23,1028.2510598535882
24,2216.68443317723
25,1366.3464319566265
26,-4166.918827617308
27,1642.677997221821
28,-5884.975827111863
29,-2389.010024493444
30,-5267.170810219715
31,-6967.8391548851505
32,271.3261609756155
33,3025.666441170266
34,-11683.900480470504
35,-3244.447037715814
36,-3849.668339214986
37,-2209.867489069933
38,5058.995083969901
39,-5806.236200182582
40,-8356.93201517954
41,-2644.964388083783
42,8295.755114103667
43,-11057.369189311052
44,-2640.305312041077
45,-680.3295861923834
46,8757.82514056575
47,-4063.7148727677995
48,3265.5155469051097
49,1763.9649300246965
50,5818.29376895458
51,-2565.6871386837447
52,-2064.9053425188176
53,4461.963044460514
54,-4758.795647904393
55,7765.966837332351
56,2943.8880575698568
57,12685.007819452672
58,4242.038091925206
59,331.8546989079332
60,-19450.93370469252
61,13135.234823291423
62,3299.6381920136046
63,13564.183461550623
64,-2576.3214766855817
65,6357.102378581767
66,150.83072713343427
67,1945.2309782264056
68,6023.225537149934
69,8256.288304777234
70,-2321.0080116856843
71,5672.554677306092
72,14242.469916651607
73,-17505.905704274424
74,-39.53576874360442
75,6965.068397734896
76,-4081.4584026198136
77,8228.122769884998
78,-2799.6948193304706
79,-3830.2234535460593
80,11363.024271318689
81,7757.307998484932
82,10738.73134755774
83,1638.4340769489063
84,9424.406452461495
85,6097.176717474125
86,4192.243513853289
87,-11772.276393721113
88,1638.0271875292528
89,-16489.791337627452
90,-6562.540726356907
91,-513.5944697419181
92,9790.102556839585
93,5998.187891723588
94,8676.545427258126
95,-13949.065735073062
96,-21.945269882213324
97,-1246.9748809660086
98,3272.3054335721536
99,2346.1830897851614
100,-4937.423271079897
101,-1904.1642855647951
102,16119.540076111676
103,1305.0869562583975
104,-8919.046095673926
105,4720.809262631927
106,-2140.5493792488705
107,-6110.762785090017
108,-999.7500549658434
109,5970.478232254507
110,5321.033580925316
111,673.1677221891005
112,-18795.128485999536
113,-2778.1961856782436
114,-7935.458579275524
115,13484.154127032612
116,975.7284638462588
117,-14833.945085242274
118,3926.258535937406
119,6684.230949562276
120,-843.6786427646875
121,-5779.085800234461
122,12797.31410936173
123,-6128.734790098621
124,17486.817416324746
125,-14894.103943291237
126,-2818.3099187231855
127,-9124.444953873754
128,-8734.323301474215
129,930.9370118136285
130,4671.012628732948
131,-10028.15182990837
132,17170.61383895413
133,2236.046100647887
134,17121.020597060444
135,3871.4722343350295
136,2591.356663982384
137,8163.573633180233
138,-888.0142243143637
139,4868.372414179845
140,6814.974182542879
141,-12229.612595522078
142,7204.6345076945145
143,-4173.283215744421
144,6111.0462216529995
145,13477.36553455051
146,-4525.340880020522
147,9659.895848339656
148,-8787.544169942616
149,-8171.362671034178
150,-1944.4890203666873
151,5977.894150135573
152,5278.124301507836
153,-12849.383713672636
154,12133.169038160471
155,3880.0664730684366
156,-13288.56810844643
157,-8857.667046386749
158,12514.801645389525
159,6539.231298481347
160,11169.940182437422
161,19126.74801074271
162,10749.468774379464
163,6191.544694292592
164,11979.399661643198
165,2920.2276732998434
166,5401.784159006318
167,-2893.160385384923
168,-28615.383741693106
169,-3078.8699857771862
170,5156.0291441879235
171,9826.672363952035
172,13597.965530464891
173,-1321.902551754145
174,33875.00438471581
175,-212.21574149746448
176,1328.4641030863859
177,-5667.881552366074
178,24746.57365462999
179,8896.881188994274
180,12321.645586197264
181,-8531.38772642403
182,-13344.247435312252
183,29526.899765248876
184,-5761.050116426079
185,-19002.103029617574
186,2088.7489106995054
187,25373.320616884623
188,-3071.6745749691036
189,1723.7204336314462
190,-17223.016925838776
191,-17267.179264025297
192,6739.859980280045
193,21505.399967632024
194,2266.7146718597505
195,10900.756075018086
196,-140.32642917800695
197,9117.578331640223
198,-9386.148419645615
199,18096.57416868792
200,-6190.609294082038
201,-17434.161313629942
202,18800.206814284902
203,-4221.749192101415
204,857.6116937093902
205,-16608.04872285528
206,-9408.335058671422
207,-20093.90636908915
208,-7672.415412607836
209,-21386.718432167312
210,19381.1137757923
211,-27932.020803281106
212,2594.441971254535
213,-5875.364460364683
214,25480.453192207497
215,9500.101074744016
216,-3549.9631541427225
217,22632.275374697987
218,-3039.8242558205966
219,9413.45349143981
220,-2581.6071008024737
221,5957.521661836421
222,15976.159299984574
223,-12633.510264355456
224,3477.05506611336
225,-18542.924980384298
226,-10555.72992304992
227,21083.25717387558
228,-4711.15855537029
229,6832.746889383532
230,-34560.57791385683
231,14326.15069496003
232,-15584.697064969689
233,32633.428927467903
234,5339.663840134395
235,2961.844253416173
236,11638.46911825263
237,-2881.938011486316
238,-17299.206344102276
239,-7282.161151396576
240,6393.9330240553245
241,10880.348327215528
242,13543.434828648577
243,3561.583915463183
244,12077.290122360457
245,-9685.97719244496
246,4196.925607491285
247,13931.98910597479
248,884.5181439467706
249,649.4179241457023
250,3479.623892739415
251,2700.3772706531454
252,-5810.015228410717
253,14536.672842189204
254,-7890.315992861753
255,3535.64489286975
256,10867.989763792837
257,1587.749888846185
258,5531.1530156924855
259,-19661.65386788803
260,6187.250829915516
261,6112.198165865149
262,-17333.279993080767
263,4322.078946981812
264,10375.74989053444
265,-16279.792635731399
266,-15322.936950560426
267,-8082.962921110913
268,-11729.524316344177
269,8898.660378998611
270,-14218.995403292589
271,-17006.141613112064
272,14665.818442503456
273,8357.134452292463
274,12302.53931674338
275,-9221.244579637423
276,-26160.23529005237
277,-20178.30580830737
278,7033.962521714391
279,-637.816725567216
280,3352.3653062076773
281,-9361.991834512912
282,-1469.825974195497
283,-2061.4473462372553
284,7598.8003318789415
285,12474.691384924576
286,10796.43659010483
287,1311.2050402120221
288,-2889.8392629250884
289,-23354.95557878702
290,8589.762549760053
291,-25257.53413975984
292,14750.82408469147
293,23643.55289676506
294,15384.662868463434
295,4745.733809703961
296,-820.2964823753573
297,12167.588618559297
298,1781.3955680041108
299,-71.05938834021799
300,9604.767836616142
301,4335.203497705748
302,318.5433645071462
303,-4315.778469104087
304,9960.112859520828
305,8091.683447062271
306,-740.4489131141454
307,-1142.7433829556685
308,5234.138105115155
309,-6515.051162338816
310,5889.840470529394
311,8881.080085850554
312,-2750.3332119607367
313,7611.450005094521
314,-3108.4497849750333
315,2888.813391081756
316,14278.029458020115
317,-22.718698671786115
318,206.13359548081644
319,-9655.88496074942
320,16557.99029578641
321,298.0687326588668
322,-4177.785398178501
323,12203.693524262635
324,2416.046042128466
325,-6865.548348194221
326,-5050.596699916758
327,22820.934992358554
328,4113.765212337254
329,-1126.5509697722737
330,14481.352224399801
331,7778.202050349908
332,-24770.561875294894
333,-19068.48818391259
334,18891.88535245415
335,-6189.251462994376
336,5503.141910404433
337,-25765.591510561062
338,-16526.977274253266
339,-6038.925900782924
340,-41019.460148639046
341,48937.69100462133
342,-658.6357543016784
343,28249.254465548554
344,16728.109777713427
345,-31895.60980116157
346,-7448.843081215862
347,19940.681453706464
348,-26760.644141194876
349,-24838.570290478645
350,-19140.18322467548
351,5916.669356498634
352,-27934.024066535523
353,24406.90874920343
354,23886.5656665056
355,3643.03365917434
356,8265.808715941384
357,7048.645151103614
358,3207.394460790325
